GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes,n_genes/n_go,study_pop_assessed
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,biological_process,1.0827404961542713e-11,4.786697302543838e-09,31,330,187,"[7040.0, 3717.0, 4486.0, 6662.0, 2185.0, 780.0, 2321.0, 2066.0, 1436.0, 5156.0, 1956.0, 5159.0, 2475.0, 558.0, 4914.0, 4920.0, 4921.0, 6714.0, 3643.0, 2241.0, 253260.0, 3791.0, 5587.0, 2260.0, 2261.0, 3667.0, 5979.0, 2268.0, 10461.0, 3815.0, 5747.0]",0.1657754010695187,>Q3
GO:0045893,positive regulation of DNA-templated transcription,biological_process,5.1141702125334107e-11,1.7764435531107124e-08,45,330,682,"[7040.0, 6787.0, 2308.0, 4869.0, 6662.0, 1029.0, 2066.0, 9759.0, 5663.0, 1956.0, 4780.0, 814.0, 2353.0, 6195.0, 4793.0, 5562.0, 3643.0, 7161.0, 11200.0, 7490.0, 1859.0, 5579.0, 207.0, 2002.0, 3159.0, 1499.0, 5979.0, 3551.0, 864.0, 5604.0, 5606.0, 1385.0, 5609.0, 7786.0, 3054.0, 4208.0, 221937.0, 2033.0, 9971.0, 6772.0, 7157.0, 4088.0, 4217.0, 1147.0, 1017.0]",0.06598240469208211,>Q3
GO:0033674,positive regulation of kinase activity,biological_process,1.5043421533496886e-10,4.57225993233721e-08,25,330,54,"[4486.0, 4233.0, 780.0, 2064.0, 2321.0, 2066.0, 1436.0, 5156.0, 1956.0, 5159.0, 558.0, 1969.0, 4914.0, 4920.0, 4921.0, 3643.0, 3791.0, 6098.0, 2260.0, 2261.0, 2264.0, 5979.0, 10461.0, 238.0, 2041.0]",0.46296296296296297,>Q3
GO:0006954,inflammatory response,biological_process,2.2714854892436897e-09,5.813807333785296e-07,30,330,404,"[6280.0, 2194.0, 8986.0, 1436.0, 57118.0, 9759.0, 8737.0, 2475.0, 4780.0, 301.0, 558.0, 814.0, 9261.0, 2353.0, 1969.0, 4791.0, 4793.0, 185.0, 8767.0, 207.0, 27347.0, 5587.0, 5590.0, 3551.0, 6885.0, 5606.0, 3815.0, 9971.0, 1269.0, 1147.0]",0.07425742574257425,>Q3
GO:0032869,cellular response to insulin stimulus,biological_process,4.731461528518027e-09,1.1504548706591583e-06,18,330,93,"[5591.0, 5315.0, 2308.0, 5925.0, 2475.0, 207.0, 208.0, 5105.0, 5295.0, 2931.0, 6772.0, 2645.0, 6198.0, 5590.0, 3667.0, 3643.0, 6714.0, 2203.0]",0.1935483870967742,>Q3
GO:0051403,stress-activated MAPK cascade,biological_process,7.4371646762798e-09,1.6439514463976666e-06,14,330,24,"[55872.0, 5600.0, 5603.0, 6885.0, 5608.0, 5609.0, 3551.0, 5599.0, 11221.0, 1432.0, 4217.0, 5594.0, 5595.0, 8767.0]",0.5833333333333334,>Q3
GO:0034614,cellular response to reactive oxygen species,biological_process,7.837548202115371e-09,1.657130300299437e-06,15,330,49,"[2241.0, 5601.0, 5156.0, 1956.0, 4137.0, 5164.0, 207.0, 2353.0, 5595.0, 695.0, 472.0, 5594.0, 1147.0, 120892.0, 5599.0]",0.30612244897959184,>Q3
GO:0010976,positive regulation of neuron projection development,biological_process,2.5248160470646542e-08,4.911272174750165e-06,19,330,118,"[6280.0, 2185.0, 780.0, 57118.0, 4780.0, 816.0, 4914.0, 4920.0, 4921.0, 2242.0, 5587.0, 2260.0, 8536.0, 2011.0, 5979.0, 4067.0, 2534.0, 2033.0, 5753.0]",0.16101694915254236,>Q3
GO:0090398,cellular senescence,biological_process,2.5248160470646542e-08,4.911272174750165e-06,19,330,57,"[1027.0, 4869.0, 1029.0, 6416.0, 1432.0, 25.0, 4000.0, 5580.0, 472.0, 5599.0, 5600.0, 5601.0, 5604.0, 5606.0, 5608.0, 5609.0, 7157.0, 4217.0, 1017.0]",0.3333333333333333,>Q3
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,biological_process,3.4747045636180345e-08,6.499033958797885e-06,14,330,82,"[7040.0, 6850.0, 7525.0, 5062.0, 2475.0, 253260.0, 10188.0, 7157.0, 5781.0, 5175.0, 5336.0, 25.0, 6714.0, 8767.0]",0.17073170731707318,>Q3
GO:0010628,positive regulation of gene expression,biological_process,4.247003587047071e-08,7.376135158503538e-06,35,330,487,"[7040.0, 9475.0, 1029.0, 6662.0, 1432.0, 5663.0, 4000.0, 8737.0, 673.0, 4139.0, 2475.0, 4780.0, 5562.0, 7490.0, 207.0, 5587.0, 983.0, 5336.0, 472.0, 2264.0, 1499.0, 5979.0, 351.0, 5599.0, 3297.0, 5601.0, 5600.0, 5604.0, 9451.0, 3054.0, 4208.0, 2931.0, 2932.0, 7157.0, 4088.0]",0.07186858316221766,>Q3
