GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes,n_genes/n_go,study_pop_assessed
GO:0018107,peptidyl-threonine phosphorylation,biological_process,3.1208102396467856e-08,7.987631681790695e-06,24,323,54,"[9475.0, 84630.0, 790.0, 8476.0, 5170.0, 204851.0, 29110.0, 120892.0, 4294.0, 5578.0, 5580.0, 6093.0, 207.0, 5587.0, 5591.0, 1111.0, 5594.0, 2011.0, 5599.0, 65125.0, 8558.0, 2932.0, 1020.0, 8445.0]",0.4444444444444444,>Q3
GO:0008285,negative regulation of cell population proliferation,biological_process,4.941787404871153e-08,1.161249962176001e-05,32,323,423,"[1026.0, 7428.0, 4869.0, 3717.0, 5894.0, 2185.0, 780.0, 5777.0, 2066.0, 55193.0, 5914.0, 1436.0, 4000.0, 5796.0, 4914.0, 6196.0, 3636.0, 1499.0, 5728.0, 5604.0, 8678.0, 3303.0, 3304.0, 5610.0, 8558.0, 367.0, 65268.0, 7157.0, 2550.0, 6774.0, 4988.0, 1021.0]",0.07565011820330969,>Q3
GO:0032212,positive regulation of telomere maintenance via telomerase,biological_process,1.0558793169519808e-07,1.9293303784569172e-05,11,323,35,"[545.0, 140609.0, 5609.0, 3178.0, 4751.0, 5588.0, 5595.0, 472.0, 5594.0, 1499.0, 9212.0]",0.3142857142857143,>Q3
GO:0016311,dephosphorylation,biological_process,1.0558793169519808e-07,1.9293303784569172e-05,11,323,42,"[5788.0, 11266.0, 1847.0, 93492.0, 11221.0, 5494.0, 1845.0, 1846.0, 1850.0, 5499.0, 5787.0]",0.2619047619047619,>Q3
GO:0010629,negative regulation of gene expression,biological_process,1.063826712118264e-07,1.9293303784569172e-05,24,323,300,"[1026.0, 9475.0, 7428.0, 6790.0, 84630.0, 5663.0, 32.0, 5925.0, 4137.0, 4139.0, 10413.0, 5933.0, 3636.0, 29110.0, 6714.0, 5563.0, 207.0, 26191.0, 3791.0, 1499.0, 23405.0, 2932.0, 6774.0, 65018.0]",0.08,>Q3
GO:0009410,response to xenobiotic stimulus,biological_process,1.103120821447527e-07,1.9293303784569172e-05,25,323,243,"[4609.0, 1026.0, 6915.0, 2185.0, 25.0, 32.0, 545.0, 1788.0, 2729.0, 2353.0, 4914.0, 6198.0, 1848.0, 6714.0, 2890.0, 5579.0, 1499.0, 5979.0, 3932.0, 6622.0, 8678.0, 1385.0, 6647.0, 1147.0, 57468.0]",0.102880658436214,>Q3
GO:0071364,cellular response to epidermal growth factor stimulus,biological_process,5.104028369145581e-07,8.273629986384987e-05,12,323,43,"[1956.0, 8678.0, 207.0, 2064.0, 2353.0, 2066.0, 5170.0, 1845.0, 790.0, 5335.0, 5782.0, 1915.0]",0.27906976744186046,>Q3
GO:0032091,negative regulation of protein binding,biological_process,2.2074735472488946e-06,0.00030948272583937106,11,323,54,"[1026.0, 6790.0, 9212.0, 5580.0, 1454.0, 207.0, 6093.0, 84630.0, 8536.0, 120892.0, 5599.0]",0.2037037037037037,>Q3
GO:0048538,thymus development,biological_process,2.2074735472488946e-06,0.00030948272583937106,11,323,47,"[673.0, 5604.0, 5605.0, 5894.0, 5595.0, 6647.0, 472.0, 25.0, 5594.0, 1499.0, 5663.0]",0.23404255319148937,>Q3
GO:0051092,positive regulation of NF-kappaB transcription factor activity,biological_process,2.2274101181118623e-06,0.00030948272583937106,17,323,135,"[2241.0, 8737.0, 9252.0, 4869.0, 3303.0, 3304.0, 5610.0, 367.0, 815.0, 4914.0, 5587.0, 5588.0, 6774.0, 695.0, 5336.0, 5590.0, 1147.0]",0.1259259259259259,>Q3
GO:0014044,Schwann cell development,biological_process,2.5441683959537684e-06,0.00034367474748675487,9,323,14,"[5604.0, 5605.0, 5894.0, 2064.0, 2065.0, 5595.0, 5594.0, 4763.0, 1020.0]",0.6428571428571429,>Q3
GO:0050852,T cell receptor signaling pathway,biological_process,3.7028484794211737e-06,0.0004866743825790586,16,323,113,"[673.0, 65125.0, 3932.0, 7535.0, 26191.0, 7006.0, 5594.0, 3635.0, 5777.0, 695.0, 5336.0, 25.0, 5335.0, 5788.0, 7294.0, 5663.0]",0.1415929203539823,>Q3
GO:0016310,phosphorylation,biological_process,4.778034459656527e-06,0.0005957841430079408,12,323,42,"[2048.0, 5062.0, 2475.0, 2987.0, 1020.0, 5230.0, 207.0, 10188.0, 6774.0, 10295.0, 5595.0, 120892.0]",0.2857142857142857,>Q3
GO:0001649,osteoblast differentiation,biological_process,4.778034459656527e-06,0.0005957841430079408,12,323,126,"[5600.0, 27044.0, 3020.0, 3021.0, 207.0, 4209.0, 2194.0, 1969.0, 2550.0, 1499.0, 1432.0, 4763.0]",0.09523809523809523,>Q3
GO:0048009,insulin-like growth factor receptor signaling pathway,biological_process,6.8744180006683216e-06,0.0008357573684312512,11,323,32,"[5604.0, 5605.0, 5894.0, 5607.0, 5295.0, 367.0, 207.0, 5170.0, 3480.0, 5594.0, 5595.0]",0.34375,>Q3
GO:0016477,cell migration,biological_process,7.824494032887002e-06,0.0009059646305221308,20,323,260,"[7301.0, 4486.0, 4233.0, 2321.0, 2066.0, 8476.0, 5792.0, 5796.0, 558.0, 1969.0, 5170.0, 6198.0, 3791.0, 2260.0, 5590.0, 5335.0, 79834.0, 10461.0, 5728.0, 5747.0]",0.07692307692307693,>Q3
GO:0038133,ERBB2-ERBB3 signaling pathway,biological_process,8.725406449494528e-06,0.0009867825945091137,7,323,9,"[5604.0, 5605.0, 5894.0, 2064.0, 2065.0, 5594.0, 5595.0]",0.7777777777777778,>Q3
